,section_title,section_text
1261,Step 2: Create a GitHub test repository and sync account,"Each sync setup begins with creating a folder or project in Wrike and a repository in GitHub that will be connected. To help you get a feel for how the sync works, create a test repository in GitHub and use it for your first sync.
Create a sync account in GitHub to better track when updates are made as a result of the sync. If you use a sync account and a user updates a task’s title in Wrike, then in GitHub you’ll see that the title of the synced issue was updated by the sync account. If you don’t use a sync account, then GitHub will show that the user, whose credentials you selected to set up the sync, updated the issue.
To create a sync account, create a new GitHub user and name it “Wrike Bot.” Visit Unito’s help center to read more about what permissions the Wrike Bot account requires. Make sure you give the bot account access to the GitHub repositories you want to sync.
Please note: You only need to create a sync account in GitHub. In Wrike, there’s a special bot called “Unito Bot for Two-Way Sync” that’s automatically added to your Wrike account when you set up the integration."
1262,Step 3: Sync setup between Wrike and GitHub,"If you’re using GitHub Enterprise, please follow the instructions detailed in this Unito Help Center page. If you’re syncing Wrike with GitHub.com, please use the steps detailed below.
To create the first sync:
Click your profile image in the upper-right corner of the Wrike account.
Select “Apps and integrations.”
Click the “Project syncs” tab in the left panel.
(Optional) If there are multiple Wrike accounts associated with your email, select the relevant one.
Click the “Add sync” button.
You’ll see two cards on the screen for the two systems that you sync. The card on the right is reserved for Wrike by default.
Click the “Add another tool” option on the left card.
Select “GitHub” and you’ll be prompted to log in.
Log in using the credentials of the bot account you created in Step 2.
After connecting to your GitHub instance, you’ll be redirected to the sync.
Select the existing GitHub repository you want to sync or create a new one from the “Project” drop-down.
After setting up the GitHub card, select a connector for Wrike on the right card.
The “Wrike via Unito Bot for Two-Way Sync” option is selected automatically. If you keep this option selected, GitHub will show that the bot has updated the issue. In this case, if you’re creating the first sync, you need to create a Wrike project or folder which will be integrated with GitHub. That project or folder will be available for selection in the future syncs.
If you choose “Wrike via User Name” option, then the updates in GitHub will show that the user whose credentials you select to set up the sync updated the issue.
After both cards are set up, scroll down to choose the preferred sync direction.
Click “Next.” You’ll be directed to a page where you can configure filters.
Leave the filters as is to sync all issues and tasks by default.
Click “Next.”
You’ll see the “Options” section. Here, you can disable Test Mode and Auto Sync and customize workflow and content.
Click the “Create sync” button when all the preferred configurations are set up.
Please note: If you have a lot of existing tasks and issues, then it may take a few minutes for the first sync to complete. Tasks and issues are added continuously until they’re all synced.
To sync additional GitHub repositories with Wrike, repeat the steps starting from Step 3."
1263,Edit Existing Syncs,"Click on your profile image in the workspace’s upper right-hand corner.
Select “Apps and Integrations.”
Click the “GitHub Project Sync” card.
Click the “Settings” button in the upper-right corner of the card.
(Optional) If there are multiple Wrike accounts associated with your email, select the relevant one.
Click the name of the sync to access its settings.
Now you can edit the sync."
1264,Overview,"The Wrike/JIRA sync allows for automatic updates between Wrike tasks and JIRA issues. Once a sync is in place:
Wrike creates a task for each issue or epic in the JIRA project.
For any task created in or added to the synced folder, a JIRA issue is created in the synced project.
When you update a linked task, then the linked issue is automatically updated (and vice versa).
Please note: This page goes over how the sync works once it's in place, for details on how to set up the sync, check out our: Wrike and JIRA Two-Way Sync: Setup Guide."
1265,Important Information,"Tasks must remain in the synced Wrike folder in order to remain synced to a corresponding JIRA issue. A task can be tagged in additional folders, but if it is removed from the synced folder, then it stops being synced with JIRA.
Individual team members only need a Wrike or JIRA license for the sync to work. They do not need licenses in both tools. For example, if someone updates a task in Wrike, the JIRA issue is automatically updated even though the user does not have a JIRA license.
The Wrike and JIRA Two-Way Sync is powered by a partner: Unito.io. For even more information about how the Wrike and JIRA Two-Way Sync works, please check out Unito’s Help Center."
1266,Use Cases,"Project Management - Project and Product Managers can coordinate projects across both tools and keep an eye on how projects are progressing.
Team collaboration - Non-technical employees and developers can easily track project progress, answer questions, and share information.
Reporting and Timelines - Use Wrike to report on JIRA data and to build consolidated timelines, workload views, and dashboards that combine both Wrike & JIRA information."
1267,Ongoing Sync: Update Time and Synced Actions,"After you set up a sync: if a change is made to a synced item in Wrike or JIRA, then the corresponding task or issue/epic in the other tool is updated within five minutes.
Make any of the below updates in one tool and the corresponding update automatically occurs in the other tool:
Creating tasks, issues or epics.
Changing a task or issue's status (including closing or completing the task or issue).
Updating the title or description.
Updating due dates or duration fields.
Adding comments (comments are always synced, but the name of the person who made the comment is only synced if that person has an account in both tools).
Adding, removing, or changing assignees.*
Attachments and epics may also be synced depending on your sync settings.
*Please note: Users can only be added as assignees in Wrike or JIRA if they have a user license in that tool. For example, if a user is assigned to a synced Wrike task, but they don’t have a user license in JIRA, then the corresponding JIRA issue will be unassigned.
More details on how fields are mapped between JIRA and Wrike can be found below."
1268,Update Time,"After you set up a sync: if a change is made to a synced item in Wrike or JIRA, then the corresponding task or issue/epic in the other tool is updated within five minutes."
1269,Synced Actions,"Make any of the below updates in one tool and the corresponding update automatically occurs in the other tool:
Creating tasks, issues or epics.
Changing a task or issue's status (including closing or completing the task or issue).
Updating the title or description.
Updating due dates or duration fields.
Adding comments (comments are always synced, but the name of the person who made the comment is only synced if that person has an account in both tools).
Adding, removing, or changing assignees.*
Attachments and epics may also be synced depending on your sync settings.
*Please note: Users can only be added as assignees in Wrike or JIRA if they have a user license in that tool. For example, if a user is assigned to a synced Wrike task, but they don’t have a user license in JIRA, then the corresponding JIRA issue will be unassigned.
More details on how fields are mapped between JIRA and Wrike can be found below."
1270,Create JIRA Issues from Wrike,"There are two ways to create JIRA issues from Wrike
Open the synced Wrike Folder (the Folder where JIRA issues are added) and create a task in that folder.
Open an existing task and tag the task in the synced Wrike Folder.
An issue (based on the task) is created in the synced JIRA project. The time the sync takes depends on the Unito subscription you have. Users that set up the integration within Wrike have the “Free with Wrike” plan by default, which takes up to 5 minutes to sync the data. You can read more about the rest of the subscriptions here."
1271,Subtasks and the JIRA Integration,"By default, JIRA subtasks are not imported into Wrike. However, once a JIRA issue is added to Wrike as a task, then you can convert the Wrike task into a subtask. Convert the synced task into a subtask of another synced task or add it as a subtask in a related, but non-synced, project. In either case, when you convert a synced task into a subtask:
Only the Wrike organizational structure is affected. In JIRA, the issue remains an issue and is not converted into a subtask.
The Wrike subtask remains synced with the JIRA issue and the synced fields continue to automatically update.
You can change the default settings so that subtasks are imported and automatically synced between Wrike and JIRA from the moment the sync is setup. Read more about how to change the default settings."
1272,Default Settings,"By default, JIRA subtasks are not imported into Wrike. However, once a JIRA issue is added to Wrike as a task, then you can convert the Wrike task into a subtask. Convert the synced task into a subtask of another synced task or add it as a subtask in a related, but non-synced, project. In either case, when you convert a synced task into a subtask:
Only the Wrike organizational structure is affected. In JIRA, the issue remains an issue and is not converted into a subtask.
The Wrike subtask remains synced with the JIRA issue and the synced fields continue to automatically update."
1273,Syncing Subtasks,You can change the default settings so that subtasks are imported and automatically synced between Wrike and JIRA from the moment the sync is setup. Read more about how to change the default settings.
1274,Mapped and Unmapped Fields,"Unito uses the below fields to create Wrike tasks from JIRA issues or epics and vice versa.
Wrike
JIRA
Title
Title
Description*
Description
Description footer
Attachments
Status
Status
Comments
Comments
Due Date
Due Date
Author
Reporter
Duration**
Time Estimate
Assignees***
Assignees
*For more details, please visit the text formatting post on Unito’s site.
**During the first sync, the original estimate (from JIRA) is mapped to the Duration field (in Wrike). If the Duration or original estimate fields are updated, then the corresponding field in the other tool automatically updates as well. When the original estimate is updated, then JIRA automatically recalculates the remaining estimate.
***Please note: Users can only be added as assignees in Wrike or JIRA if they have a user license in that tool. If a user has both a Wrike and JIRA account, and they use the same email with both tools, then when they are assigned to something in one tool, they are automatically assigned to the synced item in the other tool. If a user has both a Wrike and JIRA account, but they use different emails with each tool, then you need to manually map their accounts. Note that users with the same emails will be automatically mapped between Wrike and Jira if the users existed in both Wrike and Jira before the sync was created. After Wrike and Jira are synced, it will be necessary to add user mapping for all the new users manually. It's also possible to re-create a sync with the same settings to map all users with matching emails automatically.
In addition to the fields above you can manually map:
Custom Workflows in JIRA to Custom Workflows in Wrike.
Priority in JIRA to Importance in Wrike.
Custom Fields
Check out Unito's help center for more information about manually mapping fields.
All fields not mentioned above (including ""issue type"", ""Resolution"") are currently not synced."
1275,Automatically Mapped Fields,"Unito uses the below fields to create Wrike tasks from JIRA issues or epics and vice versa.
Wrike
JIRA
Title
Title
Description*
Description
Description footer
Attachments
Status
Status
Comments
Comments
Due Date
Due Date
Author
Reporter
Duration**
Time Estimate
Assignees***
Assignees
*For more details, please visit the text formatting post on Unito’s site.
**During the first sync, the original estimate (from JIRA) is mapped to the Duration field (in Wrike). If the Duration or original estimate fields are updated, then the corresponding field in the other tool automatically updates as well. When the original estimate is updated, then JIRA automatically recalculates the remaining estimate.
***Please note: Users can only be added as assignees in Wrike or JIRA if they have a user license in that tool. If a user has both a Wrike and JIRA account, and they use the same email with both tools, then when they are assigned to something in one tool, they are automatically assigned to the synced item in the other tool. If a user has both a Wrike and JIRA account, but they use different emails with each tool, then you need to manually map their accounts. Note that users with the same emails will be automatically mapped between Wrike and Jira if the users existed in both Wrike and Jira before the sync was created. After Wrike and Jira are synced, it will be necessary to add user mapping for all the new users manually. It's also possible to re-create a sync with the same settings to map all users with matching emails automatically."
1276,Manually Mapped Fields,"In addition to the fields above you can manually map:
Custom Workflows in JIRA to Custom Workflows in Wrike.
Priority in JIRA to Importance in Wrike.
Custom Fields
Check out Unito's help center for more information about manually mapping fields."
1277,Unmapped Fields,"All fields not mentioned above (including ""issue type"", ""Resolution"") are currently not synced."
1278,Overview,"The Wrike and Jira two-way sync allows for automatic updates between Wrike tasks and Jira issues and epics. Select or create a Wrike project and select the Jira project that you’d like to sync with Wrike and:
Wrike creates a task for each issue or epic in the Jira project.
For any task created in, or added to, the synced subfolder in Wrike, Wrike creates a Jira issue in the synced project.
By default, tasks in Wrike turn into issues in Jira. If there are epics in a Jira project, they’re synced as tasks and the issues they contain are synced as separate tasks.
Once the sync is in place, Wrike tasks become linked with corresponding Jira issues. and when you update a linked task, the linked issue is automatically updated (and vice versa).
Please note: This page goes over how to sync projects between Wrike and Jira. For details on what you can do once the sync is in place, please see Wrike and JIRA Two-Way Sync: Overview."
1279,Important Information,"The Wrike and Jira two-way sync is powered by a partner: Unito.io.
Subtasks in Wrike are not synced along with their parent tasks by default. Syncing subtasks can be enabled after the creation of the sync as described on the Syncing Subtasks page of Unito's Help Center. For even more information about how the Wrike and Jira two-way sync works, please check out Unito’s Help Center.
When you set up the integration, a Wrike Bot is automatically created for you. The bot doesn't take up a Wrike user seat. A sync account is not automatically set up in Jira, and we strongly recommend creating one prior to setting up the first sync. You’ll find more details on how to do that below."
1280,Set Up the Sync,"Admins on Business and higher plans can enable the Wrike and Jira two-way sync.
The steps below are for setting up the sync with the Jira cloud solution. Details about how to sync with Jira’s on-premises solution are available on Unito’s Help Center.
There are three steps to creating your first sync:
Step 1: Enable project syncs add-on in your Wrike account
Step 2: Create a Jira test project and sync account
Step 3: Sync setup between Wrike and Jira
Before setting up the two-way sync between Wrike and Jira, you need to enable the Project Syncs Add-On in your Wrike account. You can find instructions on how to do that on the Project Syncs overview page.
Each sync setup begins with creating a folder or project in Wrike and a project in Jira that will be connected. To help you get a feel for how the sync works, create a test project in Wrike and in Jira and use these projects for your first sync.
Create a sync account in Jira to better track when updates are made as a result of the sync. If you use a sync account and a user updates a task’s title in Wrike, then in Jira you’ll see that the title of the synced issue was updated by the sync account. If you don’t use a sync account, then Jira will show that the user, whose credentials you selected to set up the sync, updated the issue.
To create a sync account, create a new Jira user and name it “Wrike Bot.” Visit Unito’s Help Center to read more about what permissions the Wrike Bot account requires. Make sure you give the bot account access to the Jira projects you want to sync.
Please note: You only need to create a sync account in Jira. In Wrike, there’s a special bot called “Unito Bot for Two-Way Sync” that is automatically added to your Wrike account when you set up the integration.
To create your first sync:
Click your profile image in the upper-right corner of the Wrike account.
Select “Apps and integrations.”
Click the “Project syncs” tab in the left panel.
(Optional) If there are multiple Wrike accounts associated with your email, select the relevant one.
Click the “Add sync” button.
You’ll see two cards on the screen for the two systems that you sync. The card on the right is reserved for Wrike by default.
Click the “Add another tool” option on the left card.
Select Jira and you’ll be prompted to log in.
Select how you want to log in to Jira. You have two options:
With an API token:
Enter your username.
Enter the API token.
If you don’t have the token, click the “Create API Token” hyperlink on the pop-up and follow the steps to create the token and use it for logging in.
With OAuth login:
Enter the domain of your Jira instance (the domain must be publicly reachable over the internet). An example domain is https://companyname.atlassian.com.
Click “Get Started.”
Follow the steps on the “Setup your Application Link” page. More detailed instructions for setting up Jira are available here.
Click “Connect Jira.”
Log in using the credentials of the bot account you created.
Click “Allow.”
In the “Project” drop-down, select the existing Jira project you wish to sync or create a new one.
After setting up the Jira card, select a connector for Wrike on the right card:
The “Wrike via Unito Bot for Two-Way Sync” option is selected automatically. If you keep this option selected, Jira will show that the bot has updated the issue. In this case, if you’re processing the first sync, you need to create a project or folder that will be integrated with Jira. That project or folder will be available for selection in the future syncs.
If you choose “Wrike via Username” option, then the updates in Jira will show that the user whose credentials you select to set up the sync updated the issue.
After both cards are set up, scroll down to choose the preferred sync direction.
Click “Next.” You’ll be directed to a page where you can configure filters.
Leave the filters as is to sync all issues and tasks by default.
Click “Next.”
You’ll see the “Options” section. Here, you can disable the Test Mode and Auto Sync and customize workflow and content.
Click the “Create sync” button when all the preferred configurations are set up.
Your sync is created.
Please note: If you have a lot of existing tasks, issues, or epics, it may take a few minutes for the first sync to be completed. Tasks, issues, and epics are added continuously until all of them are synced.
To sync additional Jira projects with Wrike, repeat steps described in Step 3 above."
1281,Step 1: Enable project syncs add-on in your Wrike account,"Before setting up the two-way sync between Wrike and Jira, you need to enable the Project Syncs Add-On in your Wrike account. You can find instructions on how to do that on the Project Syncs overview page."
1282,Step 2: Create a Jira test project and sync account,"Each sync setup begins with creating a folder or project in Wrike and a project in Jira that will be connected. To help you get a feel for how the sync works, create a test project in Wrike and in Jira and use these projects for your first sync.
Create a sync account in Jira to better track when updates are made as a result of the sync. If you use a sync account and a user updates a task’s title in Wrike, then in Jira you’ll see that the title of the synced issue was updated by the sync account. If you don’t use a sync account, then Jira will show that the user, whose credentials you selected to set up the sync, updated the issue.
To create a sync account, create a new Jira user and name it “Wrike Bot.” Visit Unito’s Help Center to read more about what permissions the Wrike Bot account requires. Make sure you give the bot account access to the Jira projects you want to sync.
Please note: You only need to create a sync account in Jira. In Wrike, there’s a special bot called “Unito Bot for Two-Way Sync” that is automatically added to your Wrike account when you set up the integration."
1283,Step 3: Sync setup between Wrike and Jira,"To create your first sync:
Click your profile image in the upper-right corner of the Wrike account.
Select “Apps and integrations.”
Click the “Project syncs” tab in the left panel.
(Optional) If there are multiple Wrike accounts associated with your email, select the relevant one.
Click the “Add sync” button.
You’ll see two cards on the screen for the two systems that you sync. The card on the right is reserved for Wrike by default.
Click the “Add another tool” option on the left card.
Select Jira and you’ll be prompted to log in.
Select how you want to log in to Jira. You have two options:
With an API token:
Enter your username.
Enter the API token.
If you don’t have the token, click the “Create API Token” hyperlink on the pop-up and follow the steps to create the token and use it for logging in.
With OAuth login:
Enter the domain of your Jira instance (the domain must be publicly reachable over the internet). An example domain is https://companyname.atlassian.com.
Click “Get Started.”
Follow the steps on the “Setup your Application Link” page. More detailed instructions for setting up Jira are available here.
Click “Connect Jira.”
Log in using the credentials of the bot account you created.
Click “Allow.”
In the “Project” drop-down, select the existing Jira project you wish to sync or create a new one.
After setting up the Jira card, select a connector for Wrike on the right card:
The “Wrike via Unito Bot for Two-Way Sync” option is selected automatically. If you keep this option selected, Jira will show that the bot has updated the issue. In this case, if you’re processing the first sync, you need to create a project or folder that will be integrated with Jira. That project or folder will be available for selection in the future syncs.
If you choose “Wrike via Username” option, then the updates in Jira will show that the user whose credentials you select to set up the sync updated the issue.
After both cards are set up, scroll down to choose the preferred sync direction.
Click “Next.” You’ll be directed to a page where you can configure filters.
Leave the filters as is to sync all issues and tasks by default.
Click “Next.”
You’ll see the “Options” section. Here, you can disable the Test Mode and Auto Sync and customize workflow and content.
Click the “Create sync” button when all the preferred configurations are set up.
Your sync is created.
Please note: If you have a lot of existing tasks, issues, or epics, it may take a few minutes for the first sync to be completed. Tasks, issues, and epics are added continuously until all of them are synced.
To sync additional Jira projects with Wrike, repeat steps described in Step 3 above."
1284,Edit Existing Syncs,"Click your profile image in the workspace’s upper right-hand corner.
Select “Apps and Integrations.”
Click the “Jira Project Sync” card.
Click the “Settings” button in the upper-right corner of the card.
(Optional) If there are multiple Wrike accounts associated with your email, select the relevant one.
Click the name of the sync to access its settings.
Now you can edit the sync."
1285,Overview,"The Wrike and Trello Two-Way Sync allows for automatic updates between Wrike tasks and Trello cards. Select a Trello board that you want to sync with Wrike and
A new Subfolder is created in Wrike (this Subfolder is linked with the Trello board).
A task is created in Wrike for each card on the Trello board.
For any task created in or added to the synced Subfolder, a Trello card is created on the synced board.
Once the sync is in place Wrike tasks are linked with corresponding Trello cards and when you update a linked task, the the linked card is automatically updated as well (and vice versa)."
1286,Important Information,"Tasks must remain in the synced Wrike Folder in order to remain synced to a corresponding Trello card. A task can be tagged in additional Folders, but if it’s removed from the synced Folder, then it stops being synced with Trello.
Individual team members need either a Wrike or Trello license for the sync to work. They do not need licenses in both tools. For example, if someone updates a task in Wrike, the Trello card is automatically updated even though the user does not have a Trello license.
The Wrike and Trello Two-Way Sync is powered by a partner: Unito.io. For even more information about how the sync works, please check out Unito’s Help Center."
1287,Ongoing Sync: Update Time and Synced Actions,"Update Time
After you set up a sync: if a change is made to a synced item in Wrike or Trello, then the corresponding task or card in the other tool is updated within 5 minutes.
Synced Actions
Make any of the below updates in one tool and the corresponding update automatically occurs in the other tool.
Synced both ways (by default)
Synced one way (by default)
Synced one way (can be enabled in the Fields settings)
Wrike
Sync Type
Trello
Task Title
Card title
Task Description
Card Description
Status
List
Comments
Comments
Assignees
Assignees
Due Date
Due Date
Attachments
Description footer
Description footer
Attachments
Description footer
Link to card
Link to task
Description footer
Custom Fields
Description footer
Author
Description footer
Duration
Description footer
Priority
Description footer
Start date
Description footer
Description footer
Labels
Description footer
Created by
*Please note, users can only be added as assignees in Wrike or Trello if they have a user license in that tool. For example, if a user is assigned to a synced Wrike task, but they don’t have a user license in Trello, then they won’t be assigned to the corresponding Trello issue."
1288,Create Trello Cards from Wrike,"There are two ways to create Trello cards from Wrike
Open the synced Wrike Folder (the Folder where Trello cards are added) and create a task in that Folder.
Open an existing task and tag the task in the synced Trello board within five minutes."
1289,Overview,"The Wrike and Trello Two-Way Sync allows for automatic updates between Wrike tasks and Trello cards. Select a Trello board that you want to sync with Wrike and
A new Subfolder is created in Wrike (this Subfolder is linked with the Trello board).
A task is created in Wrike for each card on the Trello board.
For any task created in or added to the synced Subfolder, a Trello card is created in the synced board.
Once the sync is in place Wrike tasks are linked with corresponding Trello cards and when you update a linked task, the linked card is automatically updated as well (and vice versa).
Please note, this page goes over how to sync projects between Wrike and Trello, for details on what you can do once the sync is in place please see Wrike and Trello Two-Way Sync: User Guide."
1290,Important Information,"When you set up the first sync, a Wrike sync account is automatically created for you. The sync account doesn’t take up a Wrike user seat. A sync account is not automatically set up in Trello and we strongly recommend creating one prior to setting up the first sync. More details below.
You can set the default view for Wrike Folders and Projects. Try making the default view for synced Folders the Board View.
The Wrike and Trello Two-Way Sync is powered by a partner: Unito.io. For even more information about how the Wrike and Trello sync works, please check out Unito’s Help Center."
1291,Set Up the Sync,"Regular Users and Admins on paid accounts can enable the Wrike and Trello Two-Way Sync.
Step 1: Create a Trello Test Board and Sync Account
Each sync begins by choosing an existing Trello board. For each Trello board that you sync with Wrike, a new Subfolder is created in Wrike. To help you get a feel for how the sync works: create a test board in Trello and use this for your first sync.
Create a sync account in Trello to better see when updates are made as a result of the sync. If you use a sync account and a user updates a task’s title in Wrike, then in Trello you’ll see that the title of the synced card was updated by the sync account. If you don’t use a sync account, then Trello shows that a user (the user whose credentials you use to set up the sync) updated the card.
To create a sync account: create a new Trello user and name it “Wrike Bot”. Visit Unito’s help center to read more about what permission requirements the Wrike Bot account needs. Make sure you give the bot account access to the boards you want to sync.
Step 2: Install the Two-Way Sync Application to Wrike
Regular Users and admins on paid accounts can enable the Wrike and Trello Two-Way Sync.
Open the Trello Two-Way Sync App Card in Wrike.
Click your profile image in the Workspace’s upper right-hand corner.
Select “Apps and Integrations”.
Scroll down to “Trello Two-Way Sync” and click “Configure”.
Click “Install” and a new tab appears on the Apps and Integrations page.
Click “Install app” on the pop-up.
Click “Accept”.
Step 3: Connect to Trello
Click “Get Started”.
Click “Connect Trello”.
Login using the credentials of the bot account you created.
Click “Allow”.
Step 4: Create Your First Sync
Click the field under “Select the existing Trello boards you want to sync” and type the name of the Trello board you want to sync. Select the board from the dropdown list when it appears.*
Adjust filters.
Click “Next”.
Review your information or click “Customize” to edit more settings.
Click “Save and Sync”.
*You can sync multiple boards at once. A separate Folder is created in Wrike for each Trello project you sync.
Please note, if you have a lot of existing tasks/cards then it may take a few minutes for the first sync to complete. Tasks and cards are added continuously until all tasks and cards are synced."
1292,Sync Additional Projects,"After configuring the initial sync between Wrike and Trello you can continue syncing additional boards and Folders.
Click on your profile image in the Workspace’s upper right-hand corner.
Select “Apps and Integrations”.
Select the “Trello Sync” tab.
Click “Add syncs”.
Choose what Folders and boards to sync and configure your sync settings.
Click “Save sync”.
Your sync is activated and you’ll see tasks and cards being created in the corresponding Folders and boards in Wrike and Trello respectively. In Wrike, you can set thedefault viewfor synced Folders theBoard View."
1293,Edit an Existing Sync,"Click on your profile image in the Workspace’s upper right-hand corner.
Select “Apps and Integrations”.
Select the “Trello Sync” tab.
Select the sync you want to edit.
From here you can edit the sync."
1294,Overview,"Tableau is a Business Intelligence solution which lets you analyze and visualize your data. With Tableau connector, you can automatically pull data from your Wrike account to Tableau.
You can use this data to build custom reports and merge it with data pulled from other tools and applications.
Data which can be pulled to Tableau includes, but is not limited to:
Projects
Folders
Tasks
Users
User Groups
Timelog entries
Workflows
Audit Log
Custom Field History
Status changes
Task Effort (on Wrike for Professional Services accounts or accounts with Wrike Resource add-on)
The data is stored in tables, which are connected using foreign key identifiers (like in a relational database). Documentation for Data schema and tables can be found here."
1295,Important Information,"Wrike Tableau Connector is a Web Data Connector. For more details on Web Data Connectors, refer to Tableau’s help page.
Tableau Connector automatically requests new data every time you refresh extracts in the Tableau Desktop or when the automatic refresh is run on Tableau Server or Tableau Online. The time it might take depends on the account size. Note that you cannot refresh data more often than once per hour.
If you need a sample report of what you can build in Tableau, download them from the Tableau card on the Apps and Integrations page in Wrike. The available samples are: Project Portfolio Status Dashboard, Project Status Dashboard, User Activity Dashboard."
1296,Connect Tableau Desktop to Wrike,"Open the Start page of Tableau Desktop.
Click “More” in the “To a Server” section of the “Connect” panel.
Select “Web Data Connector”.
Enter the following URL in the pop-up that opens and press “Enter”: https://www.wrike.com/frontend/tableauconn/index.html .
Click “Login to Wrike”.
Enter your Wrike credentials and click “Sign up”. If you are a member of multiple accounts you are asked to select an account to which you want to connect.
Click “Accept” to grant the Tableau Connector permissions to access Wrike data.
Tableau starts processing your data. Once it’s completed, data source containing your Wrike data is loaded and you can build custom reports and dashboards based on it."
1297,Whitelist Wrike Connector on Tableau Server,"If you are using Tableau Server, you need to whitelist Wrike’s Web Data Connector.
To do it, you need to import the reference configuration file:
Download the wrike_tableau.json file.
Execute the following command on the Tableau Server:
> tsm settings import -f wrike_tableau.json"
1298,Publish Wrike Data to the Tableau Server or Tableau Online,"Open the Tableau Desktop.
Click “Server” and select “Publish Workbook”.
Enter the URL of a server where you want to publish Wrike data and click “Connect”.
Log in to Tableau Server or Online if necessary and specify publishing details.
If you are publishing to a Tableau Server, make sure the credentials are embedded: click “Edit” in the “Data Sources” section and select “Embedded password” under “Authentication”.
Click “Publish”."
1299,Configure Automatic Refresh of Wrike Data,"Refer to Tableau Help articles on configuring refresh schedules.
Step 1: Obtain the OAuth Token
Log in to your Wrike account.
Click your profile picture in the upper right-hand corner of your Workspace.
Select “Apps & Integrations”.
Switch to the “API” tab.
Enter an app’s name (suggested name: “Tableau Connector”).
Click “Create new”.
(Optional) Add an app description.
Scroll to the bottom of the page and click “Obtain token”.
Copy the token and save it somewhere - you’ll need for entering in Tableau Bridge at the relevant step below.
Step 2: Configure automatic refresh in Tableau Bridge
Install Tableau Bridge version 2019.1 or later.
Configure data source to be refreshed via Tableau Bridge.
When prompted for credentials:
Username: enter the email address that you use to log in to Wrike.
Password: enter the token obtained in Step 1."
1300,For Tableau Server,Refer to Tableau Help articles on configuring refresh schedules.
1301,For Tableau Online,"Step 1: Obtain the OAuth Token
Log in to your Wrike account.
Click your profile picture in the upper right-hand corner of your Workspace.
Select “Apps & Integrations”.
Switch to the “API” tab.
Enter an app’s name (suggested name: “Tableau Connector”).
Click “Create new”.
(Optional) Add an app description.
Scroll to the bottom of the page and click “Obtain token”.
Copy the token and save it somewhere - you’ll need for entering in Tableau Bridge at the relevant step below.
Step 2: Configure automatic refresh in Tableau Bridge
Install Tableau Bridge version 2019.1 or later.
Configure data source to be refreshed via Tableau Bridge.
When prompted for credentials:
Username: enter the email address that you use to log in to Wrike.
Password: enter the token obtained in Step 1."
1302,Overview,"Use Wrike's Microsoft Teams integration to view and work with tasks, folders, and projects directly from an MS Team channel. After linking a Wrike account with MS Teams, you can add individual folders/projects to channels. That folder/project is shared with anyone who is a part of your Wrike account and has access to the channel.
You can view tasks in a List view and click on a task to edit it. You can also view tasks in a Gantt chart."
1303,Important Information,"You can have more than one Wrike account associated with one Office 365 directory in Microsoft Teams.
You can add the Wrike tab to private and public channels but not to direct messages.
When you add a folder or project from a Wrike account to an MS Teams channel, that folder/project is shared with everyone in that channel, but it will be visible only to members of this particular Wrike account (if they have access to it).
If you create a free Wrike account from MS Teams, you can view tasks on the Gantt chart within Teams. However, to view the Gantt chart in accounts not created via MS Teams, you need a Professional account or higher.
When you log out from Wrike, you will be automatically logged out of Wrike for MS Teams."
1304,How Wrike Works in Microsoft Teams,"You can add folders and projects as tabs to channels in Microsoft Teams. Once a folder/project is added, you (and anyone within one Wrike account associated with Office 365 directory and access to that channel) can:
View all tasks (with all statuses) from that folder/project in a list or view active tasks on a Gantt chart.* From the List view, click the filters icon to see only active tasks.
Create new tasks and subtasks.
Edit key task details (including information from the description field).
View and add comments and @mention colleagues.
Share a task or folder/project with additional users.
Drag and drop tasks on the List view to change their priority. Task order in MS Teams is synced with the priority List view in the desktop version of Wrike.
Download existing attachments.
Delete tasks.
*The Gantt chart on MS Teams updates automatically, but it is view-only. You can’t reschedule tasks from the Team's Gantt chart."
1305,Creating a New Wrike Account,"Any Microsoft Teams user with corresponding rights can create a Wrike account via MS Teams. You can create multiple Wrike accounts associated with one MS Teams directory.
To create a new Wrike account, an Office 365 admin needs to first enable the option to add tabs to Teams.
Go to the Apps section of the Microsoft Teams settings page in the Office 365 admin center.
Turn the toggle on for ""Allow external apps in Microsoft Teams.""
Click “Save.”
Now you can create a new Wrike account from MS Teams.
Launch Microsoft Teams.
From a channel, click the “+” icon to add a new tab.
Select “Wrike.”
Click “Accept.”
Click “Connect to Wrike.”
Click “Accept.”
Enter your email address, name, phone number, and job title.
If the email you entered is the same as your MS Teams email, your account is confirmed automatically.
If you entered a different address, you will receive a confirmation email. Follow the instructions in that email to finish creating your free Wrike account.
Set up a password for your Wrike account.
Click “Save.”
After you’re done, your newly created project is accessible from the selected tab on MS Teams. Up to 15 people can join your Wrike account, and you can upgrade at any time."
